Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,1,1,103,0,0,0,0,0,0,0,1,0,0,1,36,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0,0,41,0,0,0,0,0,0,0,0,0,0,1,16,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0,0,66,0,0,0,0,0,0,0,5,0,0,7,18,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,1,1,63,0,0,0,0,0,0,0,3,0,0,3,28,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0,0,47,0,0,0,0,0,0,0,2,0,0,2,31,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0,0,183,0,0,0,0,0,0,0,15,1,7,16,59,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0,0,49,0,0,0,0,0,0,0,2,0,2,2,15,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0,0,50,0,0,0,0,0,0,0,2,0,0,2,15,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0,0,98,0,0,0,0,0,0,0,4,0,2,5,15,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,1,143,0,0,0,0,0,0,0,10,0,1,10,46,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0,0,43,0,0,0,0,0,0,0,3,0,2,3,15,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0,0,42,0,0,0,0,0,0,0,2,0,0,2,15,NO
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,1,56,0,0,0,0,0,0,0,3,0,3,3,19,NO
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0,0,162,0,0,0,0,0,0,0,4,0,1,4,25,NO
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,1,1,6523,0,0,0,0,0,0,0,469,30,70,499,158,NO
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0,0,153,0,0,0,0,0,0,0,6,0,6,6,30,NO
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,1,43,0,0,0,0,0,0,0,2,0,2,2,18,NO
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0,0,41,0,0,0,0,0,0,0,2,0,2,2,19,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,3,2,400,10,"3,33",7,17,3,1,3,12,2,0,14,138,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,2,1,425,4,2,4,7,1,"0,5",1,5,1,3,7,50,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,2,1,1041,28,14,28,44,12,6,12,30,2,2,39,58,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,1,1,92,0,0,0,0,0,0,0,1,2,0,3,20,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,2,1,355,0,0,0,2,2,1,2,1,0,0,7,56,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0,0,105,0,0,0,0,0,0,0,3,0,0,5,17,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0,0,105,0,0,0,0,0,0,0,3,0,1,3,15,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0,0,92,0,0,0,0,0,0,0,3,0,1,3,15,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0,0,101,0,0,0,0,0,0,0,3,0,1,3,18,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0,0,45,0,0,0,0,0,0,0,1,0,1,1,17,NO
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,2,1,299,4,2,4,6,2,1,2,34,0,0,38,54,NO
